artist,title,id,H_or_N,cluster
Jack Harlow,Lovin On Me,spotify:track:4xhsWYTOGcal8zt0J161CU,H,4
Taylor Swift,Cruel Summer,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,H,2
Tate McRae,Greedy,spotify:track:3rUGC1vUpkDG9CZFHMur1t,H,2
Doja Cat,Paint The Town Red,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,H,1
Zach Bryan Featuring Kacey Musgraves,I Remember Everything,spotify:track:4KULAymBBJcPRpk1yO4dOG,H,5
SZA,Snooze,spotify:track:24yrJJkmVUMkJHvCaR85BN,H,4
Tyla,Water,spotify:track:4CljUDO1I5hpKjwSNK6RWY,H,2
Morgan Wallen,Last Night,spotify:track:59uQI0PADDKeE6UZDTJEe8,H,2
Luke Combs,Fast Car,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,H,2
Doja Cat,Agora Hills,spotify:track:5PyDJG7SQRgWXefgexqIge,H,2
Morgan Wallen,Thinkin' Bout Me,spotify:track:7wmCF3bsF9jBXKPH1ZN043,H,4
Teddy Swims,Lose Control,spotify:track:17phhZDn6oGtzMe56NuWvj,H,2
Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault],spotify:track:1Iq8oo9XkmmvCQiGOfORiz,H,4
Paul Russell,Lil Boo Thang,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3,H,4
Miley Cyrus,Flowers,spotify:track:1ZJwhLQLt2quexYKP2Q3gk,H,5
Drake Featuring Sexyy Red & SZA,Rich Baby Daddy,spotify:track:1wfYQIXAzt300l6i1aYiNS,H,0
Nicki Minaj,FTCU,spotify:track:24Pw64UorwvD1naI3Mw6HV,H,1
Chris Stapleton,White Horse,spotify:track:7MSWxMumjz6lHj7oRApNbg,H,3
Noah Kahan,Stick Season,spotify:track:0caJ2wkqp4UmXBwdR2JvB5,H,2
Billie Eilish,What Was I Made For?,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,H,5
Olivia Rodrigo,Vampire,spotify:track:1kuGVB7EU95pJObxwvfwKS,H,0
Jelly Roll,Need A Favor,spotify:track:07on0OB2cdPt79IFsgdRUy,H,2
Dua Lipa,Dance The Night,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,H,2
Gunna,Fukumean,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,H,4
Nate Smith,World On Fire,spotify:track:5ya0TmUQw2wHMkq36rPsnd,H,2
Dua Lipa,Houdini,spotify:track:4OMJGnvZfDvsePyCwRGO7X,H,2
Nicki Minaj Featuring Lil Uzi Vert,Everybody,spotify:track:5ZJGv7aGdIr9IGpxzSG18T,H,1
Jelly Roll With Lainey Wilson,Save Me,spotify:track:30LZU3ReFIndjHLfaahreM,H,4
Drake Featuring J. Cole,First Person Shooter,spotify:track:7aqfrAY2p9BUSiupwk3svU,H,1
Miley Cyrus,Used To Be Young,spotify:track:0Nfh4u0J4bajcyp5pzaWCx,H,5
SZA,Kill Bill,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,H,2
"Usher, Summer Walker & 21 Savage",Good Good,spotify:track:0J1YRLYhTG1MBosjidD7OI,H,2
Warren Zeiders,Pretty Little Poison,spotify:track:2gT2iF1YK5r54A2PDEXVv8,H,4
Xavi,La Diabla,spotify:track:252UPuQsncbBFhTrx4Ytcc,H,4
Victoria Monet,On My Mama,spotify:track:7DswEZZthZ6piQpL25qGAM,H,5
HARDY,Truck Bed,spotify:track:103u49mLoJUge83B1CnLxI,H,4
Mitski,My Love Mine All Mine,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,H,5
Dan + Shay,Save Me The Trouble,spotify:track:42fw0rxRO2xbesF6mJfd4Y,H,2
Tate McRae,Exes,spotify:track:3rUGC1vUpkDG9CZFHMur1t,H,2
Travis Scott,I Know ?,spotify:track:6wsqVwoiVH2kde4k4KKAFU,H,2
Jessie Murph & Jelly Roll,Wild Ones,spotify:track:2kE2HFBFkJ0VMw3igxYohz,H,4
Kenya Grace,Strangers,spotify:track:5mjYQaktjmjcMKcUIcqz4s,H,5
Bad Bunny,Monaco,spotify:track:0rY6m2panPvhv1wzB5AAkN,H,1
JID Featuring 21 Savage & Baby Tate,Surround Sound,spotify:track:1udwFobQ1JoOdWPQrp2b6u,H,1
Cody Johnson,The Painter,spotify:track:6UoKX6uLJwhsnyTp5k5StP,H,4
Olivia Rodrigo,Get Him Back!,spotify:track:4Qkv9efATrhTVnolN2OJ5C,H,3
Flo Milli,Never Lose Me,spotify:track:2lXQX3uhFHRYGBE6xR3tic,H,4
Noah Kahan With Post Malone,Dial Drunk,spotify:track:22VHOlVYBqytsrAqV8yXBK,H,2
Luke Combs,Where The Wild Things Are,spotify:track:0eBFgRxyVSeuT4iyrbukdn,H,4
Drake,You Broke My Heart,spotify:track:2FBo7mg3It3YOefMhBKk60,H,2
Drake Featuring Yeat,IDGAF,spotify:track:6G4q8Qb7CQP5gVtzQNK0zT,H,1
Fuerza Regida & Marshmello,Harley Quinn,spotify:track:6sMPFkWOGqEGBqnHEZ2jfy,H,2
Parker McCollum,Burn It Down,spotify:track:4bARASJEokNacSYtEhoNBp,H,4
Peso Pluma & Anitta,Bellakeo,spotify:track:05WVKTdZhlIMX4qqMLuo0f,H,2
Xavi,La Victima,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,H,2
Sabrina Carpenter,Feather,spotify:track:2Zo1PcszsT9WQ0ANntJbID,H,2
Lil Tecca,500lbs,spotify:track:6rjuKpPydT2SxN15TZpV7r,H,2
Karol G & Peso Pluma,Qlona,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,H,1
Kane Brown,I Can Feel It,spotify:track:2eGvz6O6tVnh9nKiitDEhZ,H,4
Zach Bryan Featuring The War And Treaty,Hey Driver,spotify:track:4pCbJC43j3gSqG6Fen6upD,H,5
Taylor Swift,You're Losing Me (From The Vault),spotify:track:3CWq0pAKKTWb0K4yiglDc4,H,5
George Birge,Mind On You,spotify:track:1eoapzLQuYBDRDaHQuxXc4,H,4
Olivia Rodrigo,Can't Catch Me Now,spotify:track:5k2JedIFqTHfbM77hW0dGp,H,3
Riley Green Featuring Luke Combs,Different 'Round Here,spotify:track:4l5w5qGInIhwfvpYmPIYdK,H,4
Maluma & Carin Leon,Segun Quien,spotify:track:6fNCrsrdIcgVd2aZZ0nnz4,H,2
Morgan Wallen Featuring Eric Church,Man Made A Bar,spotify:track:73zawW1ttszLRgT9By826D,H,4
Grupo Frontera & Grupo Firme,El Amor de Su Vida,spotify:track:0O3U5iwTbiXCREMkvotJuN,H,0
310babii,Soak City (Do It),spotify:track:2EYdheS1WcwbBv8bRmbvvW,H,1
"The Weeknd, JENNIE & Lily Rose Depp",One Of The Girls,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,H,2
Jung Kook,Standing Next To You,spotify:track:2KslE17cAJNHTsI2MI0jb2,H,4
Chayce Beckham,23,spotify:track:1uPlAdnaXBhCH8Yoj64zXh,H,4
Bad Bunny & Feid,Perro Negro,spotify:track:7iQXYTyuG13aoeHxGG28Nh,H,1
Carly Pearce Featuring Chris Stapleton,We Don't Fight Anymore,spotify:track:2dPwBKr5uJeCeyd5IoWi8W,H,5
Calle 24 x Chino Pacas x Fuerza Regida,Que Onda,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,H,2
Zach Bryan,Oklahoma Smokeshow,spotify:track:0OWhKvvsHptt6vnnNUSM9a,H,2
The Red Clay Strays,Wondering Why,spotify:track:1OG7o5af3ILKrFkp7pvvb0,H,5
BigXthaPlug,Mmhmm,spotify:track:4QTlxavdQGUVitxAvQqqkU,H,1
Rod Wave,Great Gatsby,spotify:track:1TDjN4Y7YzMsB6srvvfTyM,H,4
Travis Scott Featuring Playboi Carti,FE!N,spotify:track:42VsgItocQwOQC3XWZ8JNA,H,4
Olivia Rodrigo,Bad Idea Right?,spotify:track:3IX0yuEVvDbnqUwMBB3ouC,H,2
"Peso Pluma, Junior H & Oscar Maydon",Rompe La Dompe,spotify:track:2OWv3lRR8PtOVuHWzQNRs2,H,5
Dylan Scott,Can't Have Mine,spotify:track:3jfywRZH6cB2iLyKqo4EZd,H,5
Nicki Minaj Featuring Drake,Needle,spotify:track:7I7O0huqjKrXHX0aaLuO5B,H,5
Drake,Virginia Beach,spotify:track:3eP13S8D5m2cweMEg3ZDed,H,4
Oliver Anthony Music,Rich Men North Of Richmond,spotify:track:78Du4CMFgnhdlG33gblkiP,H,5
Noah Kahan With Hozier,Northern Attitude,spotify:track:3BqvSMpXIXHuLUFQgXL4K5,H,4
Taylor Swift,Now That We Don't Talk (Taylor's Version) [From The Vault],spotify:track:5QUIK7ZtziW8kGWo8RqopF,H,4
"Juice WRLD, Eminem & benny blanco",Lace It,spotify:track:4qmG24ebshLXtKu9HIShBP,H,1
Karol G,Mi Ex Tenia Razon,spotify:track:54zcJnb3tp9c5OVKREZ1Is,H,4
Tate McRae,Run For The Hills,spotify:track:51hyZpbJlIgZIaX3TtMxmu,H,2
Drake Featuring SZA,Slime You Out,spotify:track:3RaCGXCiiMufRPoexXxGkV,H,5
*NSYNC,Better Place,spotify:track:1bHnRc60O1N0l3PbHjaKyK,H,4
Zach Bryan,"Burn, Burn, Burn",spotify:track:5jfhLCSIFUO4ndzNRh4w4G,H,5
Travis Scott,My Eyes,spotify:track:4kjI1gwQZRKNDkw1nI475M,H,5
Rod Wave Featuring 21 Savage,Turks & Caicos,spotify:track:40TPiJpvwGIyvPjJMDTKfy,H,1
Zach Bryan,Tourniquet,spotify:track:3EvZ03hGAFwGZ2Ebcu86YH,H,5
Junior H,Y Lloro,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,H,5
Sophie Ellis-Bextor,Murder On The Dancefloor,spotify:track:6yfU5QHRcUD4TG4P6tFXRS,H,5
Karol G,Amargura,spotify:track:505v13epFXodT9fVAJ6h8k,H,2
Lainey Wilson,Wildflowers And Wild Horses,spotify:track:6RWCvgNCEqXuVZYnDTPDEh,H,5
Britney Spears,Oops!...I Did It Again,spotify:track:6naxalmIoLFWR0siv8dnQQ,N,4
blink-182,All The Small Things,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,N,0
Faith Hill,Breathe,spotify:track:3y4LxiYMgDl4RethdzpmNe,N,5
Bon Jovi,It's My Life,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,N,0
*NSYNC,Bye Bye Bye,spotify:track:0fRtUt9EEkxJBdLku8EsG6,N,2
Sisqo,Thong Song,spotify:track:5Mmk2ii6laakqfeCT7OnVD,N,4
Eminem,The Real Slim Shady,spotify:track:3yfqSUWxFvZELEM4PmlwIR,N,2
Robbie Williams,Rock DJ,spotify:track:7oQSevUCbYs4QawXTHQVV1,N,2
Destiny's Child,Say My Name,spotify:track:7H6ev70Weq6DdpZyyTmUXk,N,2
Modjo,Lady - Hear Me Tonight,spotify:track:49X0LAl6faAusYq02PRAY6,N,2
Gigi D'Agostino,L'Amour Toujours,spotify:track:52LJ3hyknOijCrE5gCD0rE,N,0
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,spotify:track:3cqZlRpC4lOnxUE7HE3N5k,N,0
Bomfunk MC's,Freestyler,spotify:track:2xaFtNhCw5Q4hn1EKsrkLv,N,4
Sting,Desert Rose,spotify:track:4WhyHQ2BXi2VU1iaFbF6jv,N,4
Melanie C,Never Be The Same Again,spotify:track:79EAVfOpzgfHx3IE2BVFQv,N,4
Aaliyah,Try Again,spotify:track:6Wnlq1Pu3I0BajLvxn05Vr,N,1
Anastacia,I'm Outta Love - Radio Edit,spotify:track:2CaseM6BKvQpi6blK8nbxC,N,2
Alice Deejay,Better Off Alone,spotify:track:5XVjNRubJUW0iPhhSWpLCj,N,3
Gigi D'Agostino,The Riddle,spotify:track:0ZqveF2rEFlz2oqF2xrriP,N,2
Dr. Dre,The Next Episode,spotify:track:4LwU4Vp6od3Sb08CsP99GC,N,1
Linkin Park,In the End,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,N,4
Tom Jones,Sexbomb,spotify:track:7GHKA8GIMcND6c5nN1sFnD,N,2
Sonique,It Feels So Good,spotify:track:4Y8q64VnhD0vFYy9g2WFpi,N,4
M.O.P.,Cold as Ice,spotify:track:7vidktgNZFQylTgH1GEnMs,N,4
Melanie C,I Turn To You,spotify:track:5x5zRAJy1a8lSKWCCKSCIH,N,2
Limp Bizkit,Take A Look Around,spotify:track:2avKuMN2QXkaG9vvHa2JLt,N,2
Darude,Sandstorm,spotify:track:3dxDj8pDPlIHCIrUPXuCeG,N,3
Da Brat,What'chu Like (feat. Tyrese),spotify:track:5d8woPn6sHRA6yPnnHnqSt,N,1
Moloko,The Time Is Now,spotify:track:6caODjFlH5iakvYJIrhATv,N,1
Chicane,Don't Give Up,spotify:track:0zjORbo98bRxMmyS3wzeKW,N,3
DMX,Party Up,spotify:track:0LWkaEyQRkF0XAms8Bg1fC,N,0
Debelah Morgan,Dance with Me,spotify:track:2JA9FN9TVVhFN41oEZEY9v,N,2
Madonna,Music,spotify:track:2BcOZ4vOeu2qZowIHrvTYy,N,2
Ruff Endz,No More,spotify:track:2WfhlEjoUII31H6imnQdvF,N,2
Britney Spears,Born to Make You Happy,spotify:track:4l1MNtoCiTxBwf6yxD7kFd,N,2
Montell Jordan,Get It On Tonite,spotify:track:0AcLrSfAEBQcUnHOTm5pXg,N,5
Kylie Minogue,Spinning Around,spotify:track:0JcgDliDqDac8iOFFRm7tZ,N,2
JAY-Z,Big Pimpin',spotify:track:7m97yKVzPpXV9Z4ezEziOD,N,2
LeAnn Rimes,I Need You,spotify:track:7LQHBl2QcDWc6MqqTirZvW,N,2
Avant,Separated,spotify:track:5S0cvScXb33JVpjTiY9Ivi,N,4
Enrique Iglesias,Be With You,spotify:track:2N4viTG9njqCa4c46YyWs1,N,4
Toni Braxton,He Wasn't Man Enough,spotify:track:7f1Dmr246cJ9uQYdbplTbh,N,2
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,spotify:track:5jZfGxZDayFA1HzYmyOG3a,N,1
Dr. Dre,Forgot About Dre,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,N,2
Missy Elliott,Hot Boyz,spotify:track:7mYvtEeBdMqRSyj1Qpv6my,N,1
Backstreet Boys,Show Me the Meaning of Being Lonely,spotify:track:3BsaRV5QIulYz2lV9WWa8T,N,2
Samantha Mumba,Gotta Tell You,spotify:track:1rj0XawWJNisX7SGYexowJ,N,4
Mýa,Case Of The Ex (Whatcha Gonna Do),spotify:track:1ak0S3NhwWrUgNlQhJ1412,N,4
Mary Mary,Shackles (Praise You),spotify:track:7JKEA8xYDoFp4q0QBW2PGg,N,2
Next,Wifey,spotify:track:1NNDZc9BHaWe9JqIsPRlNV,N,2
Janet Jackson,Doesn't Really Matter,spotify:track:0ekdT3jOhn3LinWtqHhmsw,N,2
Ricky Martin,She Bangs - English Version,spotify:track:1uPrIHgYztXSkkcts9jet8,N,0
Jagged Edge,He Can't Love U,spotify:track:3VEZvzr84WVnoorZ4tlBSw,N,2
Sisqo,Incomplete,spotify:track:5Mmk2ii6laakqfeCT7OnVD,N,4
